busID,stopID,boarding,alighting,load,datetime
1758,1,6,8,0,2016/3/11 17:59
1758,2,6,0,5,2016/3/11 18:00
1758,2,1,0,9,2016/3/11 18:00
1758,3,3,0,10,2016/3/11 18:01
1758,4,3,0,13,2016/3/11 18:04
1758,5,10,0,20,2016/3/11 18:07
1758,6,6,1,25,2016/3/11 18:09
1758,7,7,4,28,2016/3/11 18:13
1758,8,6,1,31,2016/3/11 18:23
1758,9,0,7,28,2016/3/11 18:31
1758,10,1,5,24,2016/3/11 18:32
1758,11,0,5,20,2016/3/11 18:34
1758,12,0,6,14,2016/3/11 18:53
1758,13,0,0,14,2016/3/11 18:55
1758,14,0,2,12,2016/3/11 18:58
1758,14,1,6,10,2016/3/11 18:58
1758,15,6,4,7,2016/3/11 19:01
1758,17,0,0,12,2016/3/11 19:05
1758,18,0,2,10,2016/3/11 19:09
1758,20,1,0,9,2016/3/11 19:11
1758,20,0,10,3,2016/3/11 19:12
1758,21,1,0,1,2016/3/11 19:14
1758,2,8,0,5,2016/3/11 19:26
1758,2,5,0,9,2016/3/11 19:27
1758,3,0,1,11,2016/3/11 19:28
1758,4,3,0,12,2016/3/11 19:30
1758,5,5,2,13,2016/3/11 19:32
1758,7,7,2,15,2016/3/11 19:38
1758,7,2,1,17,2016/3/11 19:38
1758,8,0,4,15,2016/3/11 19:40
1758,9,0,4,13,2016/3/11 19:45
1758,10,1,2,10,2016/3/11 19:46
1758,12,2,0,11,2016/3/11 19:51
1758,12,5,0,14,2016/3/11 19:52
1758,13,1,5,14,2016/3/11 19:54
1758,14,2,2,14,2016/3/11 19:57
1758,15,4,5,12,2016/3/11 20:00
1758,16,1,3,11,2016/3/11 20:03
1758,17,0,1,10,2016/3/11 20:04
1758,18,0,0,10,2016/3/11 20:07
1758,20,0,2,7,2016/3/11 20:10
1758,20,0,0,2,2016/3/11 20:11
1758,21,1,1,2,2016/3/11 20:12
1758,1,1,4,0,2016/3/11 20:34
1758,2,6,0,3,2016/3/11 20:36
1758,2,0,0,6,2016/3/11 20:36
1758,3,0,0,7,2016/3/11 20:37
1758,4,4,0,7,2016/3/11 20:39
1758,5,3,0,8,2016/3/11 20:42
1758,7,1,0,10,2016/3/11 20:44
1758,7,0,2,11,2016/3/11 20:45
1758,8,0,1,9,2016/3/11 20:47
1758,9,0,0,8,2016/3/11 20:52
1758,10,3,2,8,2016/3/11 20:53
1758,11,2,0,10,2016/3/11 20:55
1758,12,2,0,11,2016/3/11 20:58
1758,13,0,0,13,2016/3/11 21:00
1758,14,0,0,13,2016/3/11 21:03
1758,14,4,1,15,2016/3/11 21:03
1758,15,13,7,16,2016/3/11 21:07
1758,16,0,0,18,2016/3/11 21:09
1758,17,1,1,18,2016/3/11 21:10
1758,18,0,6,16,2016/3/11 21:12
1758,19,0,5,12,2016/3/11 21:15
1758,20,0,5,7,2016/3/11 21:17
1758,21,1,0,4,2016/3/11 21:20
1758,1,4,12,0,2016/3/11 21:39
1758,2,4,0,2,2016/3/11 21:40
1758,2,0,0,5,2016/3/11 21:41
1758,3,0,0,6,2016/3/11 21:42
1758,4,1,1,4,2016/3/11 21:43
1758,5,3,0,6,2016/3/11 21:45
1758,6,1,0,7,2016/3/11 21:47
1758,7,1,0,7,2016/3/11 21:49
1758,8,0,2,7,2016/3/11 21:51
1758,9,0,3,4,2016/3/11 21:55
1758,10,0,1,4,2016/3/11 21:56
1758,11,0,0,4,2016/3/11 21:58
1758,12,2,1,3,2016/3/11 22:03
1758,14,3,0,5,2016/3/11 22:07
1758,14,17,0,15,2016/3/11 22:08
1758,15,7,3,21,2016/3/11 22:13
1758,16,8,0,27,2016/3/11 22:15
1758,17,0,1,31,2016/3/11 22:17
1758,18,0,4,27,2016/3/11 22:19
1758,20,0,7,23,2016/3/11 22:22
1758,21,0,5,8,2016/3/11 22:24
1758,2,4,0,2,2016/3/11 22:50
1758,2,0,0,5,2016/3/11 22:50
1758,3,1,1,5,2016/3/11 22:52
1758,4,3,1,4,2016/3/11 22:53
1758,5,4,0,7,2016/3/11 22:55
1758,7,5,0,11,2016/3/11 22:58
1758,7,4,1,14,2016/3/11 22:58
1758,8,7,0,18,2016/3/11 23:01
1758,10,0,0,18,2016/3/11 23:06
1758,11,0,1,17,2016/3/11 23:08
1758,12,3,6,13,2016/3/11 23:11
1758,14,3,3,13,2016/3/11 23:15
1758,14,3,4,13,2016/3/11 23:16
1758,15,4,3,13,2016/3/11 23:19
1758,16,0,1,13,2016/3/11 23:21
1758,17,1,1,13,2016/3/11 23:23
1758,18,2,3,12,2016/3/11 23:26
1758,20,0,5,10,2016/3/11 23:28
1758,20,0,5,4,2016/3/11 23:29
1758,21,1,0,2,2016/3/11 23:31
1760,1,5,7,0,2016/3/11 18:03
1760,2,3,0,0,2016/3/11 18:06
1760,2,1,0,2,2016/3/11 18:06
1760,3,0,0,3,2016/3/11 18:07
1760,4,8,0,7,2016/3/11 18:10
1760,5,1,1,8,2016/3/11 18:13
1760,7,13,1,19,2016/3/11 18:18
1760,7,4,1,25,2016/3/11 18:18
1760,8,2,0,27,2016/3/11 18:24
1760,9,3,7,27,2016/3/11 18:31
1760,11,1,6,22,2016/3/11 18:34
1760,12,1,5,17,2016/3/11 18:47
1760,14,8,1,20,2016/3/11 18:52
1760,14,9,6,25,2016/3/11 18:53
1760,15,7,9,26,2016/3/11 18:56
1760,16,2,0,30,2016/3/11 18:58
1760,17,0,4,26,2016/3/11 19:00
1760,18,0,3,23,2016/3/11 19:02
1760,19,0,4,20,2016/3/11 19:03
1760,20,0,14,8,2016/3/11 19:05
1760,21,0,5,3,2016/3/11 19:08
1760,2,6,0,2,2016/3/11 20:01
1760,2,2,0,5,2016/3/11 20:02
1760,3,0,3,5,2016/3/11 20:03
1760,4,3,0,8,2016/3/11 20:04
1760,5,3,4,10,2016/3/11 20:07
1760,7,12,1,14,2016/3/11 20:11
1760,7,6,0,20,2016/3/11 20:12
1760,8,5,1,24,2016/3/11 20:13
1760,9,3,6,24,2016/3/11 20:19
1760,10,1,0,24,2016/3/11 20:20
1760,11,3,3,23,2016/3/11 20:21
1760,12,0,5,20,2016/3/11 20:25
1760,14,4,1,21,2016/3/11 20:29
1760,14,7,12,19,2016/3/11 20:29
1760,16,8,8,20,2016/3/11 20:36
1760,16,2,1,22,2016/3/11 20:37
1760,17,0,0,21,2016/3/11 20:38
1760,18,0,5,19,2016/3/11 20:41
1760,20,3,3,15,2016/3/11 20:44
1760,20,1,11,11,2016/3/11 20:45
1760,21,0,6,4,2016/3/11 20:46
1760,3,2,0,2,2016/3/11 21:07
1760,4,1,0,3,2016/3/11 21:08
1760,5,2,0,5,2016/3/11 21:10
1760,7,13,0,11,2016/3/11 21:16
1760,7,0,0,16,2016/3/11 21:16
1760,8,1,0,17,2016/3/11 21:18
1760,9,1,6,14,2016/3/11 21:23
1760,11,0,3,7,2016/3/11 21:26
1760,12,0,1,4,2016/3/11 21:30
1760,13,9,2,6,2016/3/11 21:33
1760,14,22,1,23,2016/3/11 21:36
1760,15,8,1,30,2016/3/11 21:40
1760,16,5,0,33,2016/3/11 21:42
1760,17,2,2,36,2016/3/11 21:44
1760,18,1,6,35,2016/3/11 21:45
1760,20,1,8,29,2016/3/11 21:49
1760,20,0,15,20,2016/3/11 21:50
1760,21,0,3,13,2016/3/11 21:52
1760,2,8,0,3,2016/3/11 22:05
1760,2,7,0,9,2016/3/11 22:06
1760,3,2,0,13,2016/3/11 22:07
1760,4,3,2,14,2016/3/11 22:08
1760,5,9,1,19,2016/3/11 22:10
1760,7,5,0,23,2016/3/11 22:15
1760,7,0,9,19,2016/3/11 22:16
1760,8,1,2,17,2016/3/11 22:18
1760,10,3,2,12,2016/3/11 22:25
1760,11,0,2,11,2016/3/11 22:26
1760,12,0,5,6,2016/3/11 22:30
1760,14,2,1,6,2016/3/11 22:33
1760,14,4,4,8,2016/3/11 22:34
1760,15,8,2,12,2016/3/11 22:37
1760,16,1,1,13,2016/3/11 22:40
1760,18,0,6,12,2016/3/11 22:43
1760,20,0,0,12,2016/3/11 22:45
1760,20,0,7,6,2016/3/11 22:46
1760,21,0,6,1,2016/3/11 22:48
1760,2,1,0,2,2016/3/11 23:19
1760,3,1,0,3,2016/3/11 23:20
1760,4,1,0,3,2016/3/11 23:22
1760,5,3,0,5,2016/3/11 23:25
1760,7,0,0,6,2016/3/11 23:27
1760,7,0,2,6,2016/3/11 23:27
1760,8,2,0,5,2016/3/11 23:30
1760,9,5,4,5,2016/3/11 23:33
1760,10,0,0,10,2016/3/11 23:34
1760,11,0,0,9,2016/3/11 23:35
1760,12,0,2,7,2016/3/11 23:37
1760,14,0,0,5,2016/3/11 23:39
1760,14,2,2,5,2016/3/11 23:40
1760,15,2,2,5,2016/3/11 23:42
1760,16,1,0,7,2016/3/11 23:44
1760,20,0,3,4,2016/3/11 23:49
1760,20,1,1,2,2016/3/11 23:50
1760,21,0,1,2,2016/3/11 23:52
1763,7,1,4,29,2016/3/11 17:53
1763,8,3,3,29,2016/3/11 17:57
1763,9,5,11,27,2016/3/11 18:04
1763,10,0,0,27,2016/3/11 18:05
1763,11,3,3,25,2016/3/11 18:07
1763,12,7,2,29,2016/3/11 18:17
1763,13,12,1,35,2016/3/11 18:20
1763,14,29,13,50,2016/3/11 18:24
1763,16,2,8,51,2016/3/11 18:31
1763,16,2,2,52,2016/3/11 18:32
1763,17,0,4,49,2016/3/11 18:33
1763,18,0,4,45,2016/3/11 18:41
1763,20,1,19,31,2016/3/11 18:44
1763,20,2,17,18,2016/3/11 18:45
1763,21,0,6,10,2016/3/11 18:47
1763,1,2,9,1,2016/3/11 18:54
1763,2,5,0,6,2016/3/11 18:55
1763,2,3,0,9,2016/3/11 18:55
1763,3,0,2,9,2016/3/11 18:56
1763,4,0,1,8,2016/3/11 18:58
1763,5,0,4,5,2016/3/11 19:00
1763,7,9,1,9,2016/3/11 19:05
1763,7,1,0,14,2016/3/11 19:05
1763,8,10,0,17,2016/3/11 19:07
1763,9,3,4,20,2016/3/11 19:12
1763,10,2,1,21,2016/3/11 19:13
1763,11,2,0,22,2016/3/11 19:14
1763,12,0,8,17,2016/3/11 19:29
1763,14,0,0,15,2016/3/11 19:34
1763,14,1,9,10,2016/3/11 19:34
1763,16,0,0,7,2016/3/11 19:41
1763,17,0,2,6,2016/3/11 19:42
1763,18,0,1,5,2016/3/11 19:44
1763,19,0,3,4,2016/3/11 19:46
1763,20,0,1,3,2016/3/11 19:48
1763,1,9,10,1,2016/3/11 22:29
1763,4,0,1,3,2016/3/11 22:31
1763,5,17,0,12,2016/3/11 22:34
1763,6,0,0,12,2016/3/11 22:35
1763,7,3,0,18,2016/3/11 22:37
1763,7,2,1,19,2016/3/11 22:38
1763,8,5,0,22,2016/3/11 22:39
1763,9,0,8,19,2016/3/11 22:44
1763,10,1,0,18,2016/3/11 22:45
1763,11,1,3,17,2016/3/11 22:46
1763,12,3,1,16,2016/3/11 22:50
1763,14,1,3,16,2016/3/11 22:55
1763,16,7,5,24,2016/3/11 23:00
1763,16,1,0,26,2016/3/11 23:01
1763,17,3,0,26,2016/3/11 23:02
1763,18,1,5,27,2016/3/11 23:03
1763,20,0,9,22,2016/3/11 23:05
1763,20,1,9,15,2016/3/11 23:06
1763,21,0,1,14,2016/3/11 23:07
1764,1,4,16,2,2016/3/11 18:04
1764,2,0,0,3,2016/3/11 18:06
1764,3,0,1,2,2016/3/11 18:08
1764,5,3,0,4,2016/3/11 18:13
1764,6,8,0,10,2016/3/11 18:15
1764,7,4,0,13,2016/3/11 18:19
1764,8,2,0,18,2016/3/11 18:26
1764,9,1,3,16,2016/3/11 18:33
1764,10,2,1,16,2016/3/11 18:35
1764,11,2,1,16,2016/3/11 18:36
1764,12,0,5,14,2016/3/11 18:54
1764,13,0,1,14,2016/3/11 18:56
1764,14,0,0,14,2016/3/11 18:58
1764,14,0,5,10,2016/3/11 18:59
1764,15,3,5,6,2016/3/11 19:03
1764,16,0,0,9,2016/3/11 19:05
1764,17,0,1,5,2016/3/11 19:05
1764,18,0,1,5,2016/3/11 19:09
1764,20,0,1,5,2016/3/11 19:12
1764,20,0,1,4,2016/3/11 19:12
1764,21,0,1,3,2016/3/11 19:14
1764,2,1,0,3,2016/3/11 19:19
1764,2,4,0,7,2016/3/11 19:20
1764,3,1,0,8,2016/3/11 19:21
1764,4,4,0,10,2016/3/11 19:23
1764,5,3,4,9,2016/3/11 19:27
1764,6,8,1,14,2016/3/11 19:30
1764,7,3,2,17,2016/3/11 19:34
1764,8,5,2,19,2016/3/11 19:36
1764,9,4,4,19,2016/3/11 19:41
1764,10,3,1,21,2016/3/11 19:42
1764,11,1,1,19,2016/3/11 19:44
1764,12,1,1,20,2016/3/11 19:48
1764,14,1,1,20,2016/3/11 19:52
1764,15,1,9,15,2016/3/11 19:55
1764,15,2,5,10,2016/3/11 19:58
1764,16,2,1,11,2016/3/11 20:01
1764,17,0,2,9,2016/3/11 20:02
1764,18,0,1,9,2016/3/11 20:03
1764,19,0,0,9,2016/3/11 20:05
1764,20,0,2,7,2016/3/11 20:07
1764,21,0,2,6,2016/3/11 20:10
1765,21,1,9,12,2016/3/11 17:56
1765,2,8,0,6,2016/3/11 18:09
1765,2,2,0,11,2016/3/11 18:10
1765,3,1,1,12,2016/3/11 18:11
1765,4,1,0,11,2016/3/11 18:13
1765,5,7,2,15,2016/3/11 18:16
1765,6,2,2,17,2016/3/11 18:18
1765,7,7,1,19,2016/3/11 18:22
1765,8,3,2,20,2016/3/11 18:27
1765,9,1,5,17,2016/3/11 18:34
1765,10,0,1,17,2016/3/11 18:35
1765,11,0,1,15,2016/3/11 18:37
1765,12,0,0,13,2016/3/11 18:50
1765,12,4,5,12,2016/3/11 18:51
1765,13,5,0,15,2016/3/11 18:53
1765,14,4,7,15,2016/3/11 18:57
1765,15,1,5,14,2016/3/11 19:00
1765,16,0,1,12,2016/3/11 19:02
1765,17,1,2,11,2016/3/11 19:03
1765,18,1,0,12,2016/3/11 19:06
1765,19,1,3,11,2016/3/11 19:08
1765,20,0,7,7,2016/3/11 19:10
1765,21,0,1,4,2016/3/11 19:13
1765,2,2,0,3,2016/3/11 20:19
1765,2,2,0,5,2016/3/11 20:20
1765,3,1,0,7,2016/3/11 20:21
1765,4,1,0,7,2016/3/11 20:22
1765,5,2,0,8,2016/3/11 20:25
1765,7,3,0,9,2016/3/11 20:28
1765,7,4,0,13,2016/3/11 20:29
1765,8,2,2,14,2016/3/11 20:32
1765,11,1,0,20,2016/3/11 20:40
1765,12,3,8,18,2016/3/11 20:44
1765,14,5,4,20,2016/3/11 20:47
1765,14,11,7,24,2016/3/11 20:49
1765,15,4,5,22,2016/3/11 20:54
1765,16,3,0,24,2016/3/11 20:57
1765,17,0,1,25,2016/3/11 20:58
1765,18,3,1,26,2016/3/11 21:01
1765,19,0,8,22,2016/3/11 21:03
1765,20,0,11,14,2016/3/11 21:05
1765,21,0,5,9,2016/3/11 21:08
1765,1,5,15,1,2016/3/11 21:23
1765,2,2,0,2,2016/3/11 21:24
1765,2,0,0,4,2016/3/11 21:25
1765,3,0,0,5,2016/3/11 21:26
1765,4,1,0,5,2016/3/11 21:27
1765,5,6,2,7,2016/3/11 21:31
1765,7,1,0,9,2016/3/11 21:35
1765,7,3,0,10,2016/3/11 21:36
1765,8,3,0,14,2016/3/11 21:37
1765,9,1,5,13,2016/3/11 21:42
1765,10,0,3,11,2016/3/11 21:43
1765,11,0,1,9,2016/3/11 21:45
1765,12,2,2,7,2016/3/11 21:49
1765,14,1,0,9,2016/3/11 21:54
1765,14,1,3,9,2016/3/11 21:54
1765,15,2,2,7,2016/3/11 21:58
1765,16,1,0,8,2016/3/11 21:59
1765,17,3,1,9,2016/3/11 22:01
1765,18,0,0,11,2016/3/11 22:02
1765,19,0,5,9,2016/3/11 22:05
1765,20,1,0,9,2016/3/11 22:07
1765,21,0,2,8,2016/3/11 22:10
1766,10,3,2,20,2016/3/11 17:53
1766,11,0,2,19,2016/3/11 17:54
1766,12,3,4,16,2016/3/11 17:59
1766,13,2,2,18,2016/3/11 18:01
1766,14,17,4,23,2016/3/11 18:04
1766,15,8,4,27,2016/3/11 18:06
1766,16,0,0,28,2016/3/11 18:09
1766,17,1,2,27,2016/3/11 18:10
1766,18,0,1,27,2016/3/11 18:17
1766,19,0,16,16,2016/3/11 18:19
1766,20,0,0,14,2016/3/11 18:20
1766,20,0,3,13,2016/3/11 18:20
1766,21,0,6,10,2016/3/11 18:22
1766,1,1,6,0,2016/3/11 18:31
1766,2,11,0,7,2016/3/11 18:32
1766,2,5,0,14,2016/3/11 18:33
1766,3,1,0,17,2016/3/11 18:34
1766,4,1,1,17,2016/3/11 18:35
1766,5,6,1,18,2016/3/11 18:39
1766,7,6,2,21,2016/3/11 18:42
1766,7,3,5,21,2016/3/11 18:43
1766,8,2,0,23,2016/3/11 18:48
1766,9,1,8,22,2016/3/11 18:53
1766,10,1,1,19,2016/3/11 18:55
1766,11,1,0,22,2016/3/11 18:56
1766,12,3,0,16,2016/3/11 19:11
1766,13,0,0,17,2016/3/11 19:13
