,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
stop1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045454545,0,0,0,0,0,0,0,0,0,0,0,0,0
stop4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.075,0,0.118055556,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0,0.125,0.041666667,0,0,0,0,0.035714286,0,0,0,0.090909091,0,0,0,0,0,0,0,0.125,0,0.090909091,0,0,0,0,0,0,0,0,0,0
stop6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0.177865613,0.285714286,0.111111111,0.222222222,0.116883117,0.05,0.166666667,0.1,0.222222222,0.142857143,0,0,0.090909091,0.136645963,0.138888889,0,0.071428571,0.111111111,0.198051948,0.2,0.117647059,0.2,0.142857143,0.154761905,0.111111111,0,0,0.074175824,0.142857143,0,0,0
stop8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0.015625,0,0,0.016666667,0,0,0,0.018518519,0,0,0,0,0,0.058823529,0.058823529,0,0,0,0,0,0,0.054093567,0,0,0,0.053977273,0.08,0,0.013157895,0.052631579,0.125,0
stop9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.15,0.071428571,0.111111111,0.158333333,0.106203008,0.093073593,0.0625,0.108187135,0.090909091,0.093073593,0.080128205,0.101010101,0.081168831,0.083333333,0.095454545,0.148148148,0.054093567,0.111111111,0.046536797,0.129166667,0.125,0.222222222,0.183110368,0.171428571,0.166666667,0.25,0.215384615,0.198051948,0.189285714,0.133333333,0.26969697,0.157894737,0.333333333,0.2
stop10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0.117647059,0.037037037,0.058823529,0.04,0.035714286,0.035714286,0.051150895,0,0.05,0.075714286,0,0.035714286,0.066666667,0,0.066666667,0.032258065,0,0,0.041666667,0.035714286,0,0.038461538,0.046536797,0,0,0,0,0,0.020833333,0.162337662,0,0,0,0
stop11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15037594,0.181818182,0.067241379,0.069295102,0.055555556,0.095454545,0.074074074,0,0.055727554,0.080128205,0,0.027777778,0.065248227,0.071428571,0.051851852,0.090909091,0.05,0.068965517,0.181818182,0.069711538,0.119642857,0.086956522,0.083333333,0,0,0,0.083333333,0,0.154761905,0.111111111,0.125,0,0
stop12,0,0,0,0,0,0,0,0,0,0,0,0,0.088932806,0,0.13961039,0.27443609,0.153846154,0.245798319,0.137931034,0.102564103,0.185185185,0.076923077,0.154761905,0.177083333,0.131884058,0.105263158,0.11,0.125,0.095454545,0.142857143,0.133333333,0.129166667,0.1875,0.146428571,0.190909091,0.166666667,0.130434783,0.118055556,0.076441103,0.2,0.142857143,0.190909091,0.142140468,0.097560976,0.181818182,0.28375286,0.162337662,0
stop13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
