,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
stop1,0,0,0,0,0,0,0,0,0,0,0,0,0.149305556,0.125,0.226494306,0,0.2875,0,0,0,0,0,0,0,0,0.055555556,0,0,0.0499996,0,0.122376014,0,0.124995,0,0,0.035714286,0,0,0,0.142850613,0,0,0,0.041666667,0,0,0.307690414,0
stop2,0,0,0,0,0,0,0,0,0,0,0,0,0.006849105,0.375,1,1.400000001,1.200000001,1,1.200000001,0.619047619,0.427272727,0.633333334,0.809090909,0.6875,1,0.5,0.25,0.25,1,0.428571428,0.333333333,0.472222222,0.5,0.3,1.111111112,0.600000001,0.725,0.692154353,0.428571428,0.285714286,0.285714286,0.285714286,0.33308463,0.666666667,1.124999999,0.333333333,0.291666667,0.166666667
stop3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0.333328889,0.4,0.25,0.171428572,0.166666667,0.133928571,0.181818182,0.25,0,0.171428572,0.174242424,0,0.087120657,0,0.333333333,0,0,0.2,0.166666667,0.116883117,0.071428571,0.166666667,0.25,0.121428571,0.076923077,0.142857143,0,0,0,0,0.045454545,0,0.05,0
stop4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1125,0.083333333,0.583333334,0.242857143,0.333333333,0,0.285714286,0.25,0.055555556,0.071428571,0.111111111,0.285714286,0.066666667,0.055555556,0,0.3,0.138461538,0.2,0.171423739,0.291666667,0.145833333,0.183333333,0.154761905,0.25,0.2,0.076923077,0.166666666,0.083333333,0.130952381,0,0.1,0.225,0.333333333,0.102631579,0
stop5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.12406015,0.125,0.166666667,0,0.30952381,0.166666667,0.333333333,0.277777778,0.333333333,0.333333333,0.166666667,0.333333333,0.666666667,0.333333333,0.666666667,0.522222223,0.333333333,0.333333333,0.309523809,0.480769231,0.499990001,0.333333333,0.083333333,0.333333333,0.183333333,0.25,0.599999999,0.599999999,1.499999999,0.384615385,0.095454545,0
stop6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211109136,0.600000001,0.666666667,0.3,0,0,0,0,0,0.125,0,0.0999968,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop7,0,0,0,0,0,0,0,0,0,0,0,0,0.057969805,0.333333333,0.875,1.428571428,1.545454546,1.3,1.354166667,1.2,1.3,1,1.125,0.666666667,1.349980801,0.675,1,1.111111111,1.291666667,1.000000001,1.333333334,1.000000002,0.694444445,0.583333333,0.666666667,1.187500001,1.464285714,1.500000003,1.333333334,1.000000001,0.500000001,0.464285714,0.464310207,0.6875,0.392307692,0.428571428,0.222222222,0
stop8,0,0,0,0,0,0,0,0,0,0,0,0,0.013620963,0.375,0.408333333,1.124999999,0.666666667,0.611111111,0.666666667,0.329365079,0.625,0.535714286,0.291666667,0.5,0.571428571,0.5,0.333333333,0.5,0.800000001,0.414285714,0.444444444,0.5,0.267857143,0.30952381,0.692307692,0.799961603,0.833333334,0.307692308,0.316666667,0.25,0.25,0.142857143,0.217647059,0.366666667,0.357142857,0.2,0.285714286,0.067982456
stop9,0,0,0,0,0,0,0,0,0,0,0,0,0.046806657,0,0,0.333333333,0.2,0.333333333,0.333333333,0.333333333,0.4375,0,0.087121212,0.208331111,0.076923077,0.1125,0.166666667,0.333333333,0.1625,0,0.2,0,0,0.225,0.333333333,0.236111111,0.225,0.03125,0,0.166662222,0,0,0,0.225,0.111111111,0.083333333,0.181818182,0.077631579
stop10,0,0,0,0,0,0,0,0,0,0,0,0,0.133332308,0.114581111,0.4,0.4,0.544444444,0.599999999,0.5,0.428571429,0.222222222,0.583333333,0.333333332,0.458333333,0.282051282,0.154761905,0.5,0.261363636,0.3749925,0.49998,0.2,0.1125,0.316666666,0.333333333,0.333333333,0.25,0.333333333,0,0.066665956,0.145831111,0.2,0.088932806,0.25,0.181818182,0.126984127,0.104166667,0,0
